Alias,TargetType,TargetID,AliasType,Scope,Source,Notes
Lime Concentrate (Limetka),ATF,ATF-02393,Translation,VendorOnly,DIY eJuice,Limetka = Lime (Polish)
Pear Concentrate (Gruszka),ATF,ATF-02434,Translation,VendorOnly,DIY eJuice,Gruszka = Pear (Polish)
Pazzo Regina,ATF,ATF-01030,Translation,Global,ATF,Pazzo Regina = Queen
Pazzo Burlone,ATF,ATF-01027,Translation,Global,ATF,Pazzo Burlone = Joker
Happy Hard Candy (Apple),ATF,ATF-03759,MarketingLine,VendorOnly,DIY eJuice,Happy Hard Candy line = Happy Rancher line
Happy Hard Candy (Grape),ATF,ATF-03761,MarketingLine,VendorOnly,DIY eJuice,Happy Hard Candy line = Happy Rancher line
Nutella,ATF,ATF-01935,MarketingLine,Global,Vendor,Nutella shorthand for Nutella Type (Hazelnut Spread)
Keoke Coffee,ATF,ATF-02706,MarketingLine,VendorOnly,DIY eJuice,Marketing reorder of Coffee Keoke (Kahlua)
Dragonfruit,ATF,ATF-00092,CompoundSplit,Global,Vendor,Dragonfruit = Dragon Fruit
Darkfire,ATF,ATF-06368,CompoundSplit,Global,Vendor,Darkfire = Dark Fire
Sweetbrightleaf,ATF,ATF-06382,CompoundSplit,Global,Vendor,Sweetbrightleaf = Sweet Brightleaf
Butterrum Cavendish,ATF,ATF-06364,CompoundSplit,Global,Vendor,Butterrum Cavendish spacing variant
